whole_text,tweet_time,mentions_tesla,is_reply,is_quote,is_retweet,positive,negative,neutral,close_delta_z,volume_delta_z,price_cv,volume_cv,close_position,max_z_next5
currently stops at 20% state of charge. This number will be configurable.,2016-09-21 16:00:00,0,1,0,0,0.0356,0.0242,0.9402,-3.126,2.432,0.001,0.738,0.0,-0.066
"yes. Also, only worked if you logged on to a malicious hotspot & used browser. No customers were hacked.",2016-09-22 16:31:00,0,1,0,0,0.2178,0.1062,0.676,3.594,-0.031,0.001,1.31,1.0,2.666
Aiming for Oct 28 unveil in SF Bay Area of new Tesla/SolarCity solar roof with integrated Powerwall 2.0 battery and Tesla charger.,2016-09-22 17:04:00,1,0,0,0,0.4282,0.0039,0.5679,1.574,2.055,0.0,0.773,0.72,24.542
Full Interplanetary Tranport System presentation in ~30 mins. Simulation preview:,2016-09-27 17:55:00,0,0,0,0,0.0594,0.0058,0.9348,-2.56,0.972,0.001,1.073,0.204,-1.31
"12m rocket booster diameter, 17m spaceship diameter, 122 m stack height",2016-09-27 18:09:00,0,0,0,0,0.1844,0.0202,0.7954,-2.863,0.081,0.001,1.631,0.0,1.233
Waiting for everyone to reach their seats and get settled. Starting in 5 to 10.,2016-09-27 18:37:00,0,0,0,0,0.1796,0.0083,0.8121,-2.134,0.058,0.001,0.99,0.333,-0.6
"Three cable elevator on a crane. Wind force on Mars is low, so don't need to worry about being blown around.",2016-09-28 18:59:00,0,1,0,0,0.3537,0.0738,0.5725,-2.173,0.065,0.001,0.889,0.0,-1.001
I use twitter for news orgs. My Insta has same women as men. What's up with the phoney PC police axe-grinding?,2016-10-04 16:45:00,0,1,0,0,0.0266,0.5802,0.3932,0.68,-0.077,0.001,0.444,0.64,1.926
"Real fraud going on is denial of climate science. As for ""subsidies"", Tesla gets pennies on dollar vs coal. How about we both go to zero?",2016-10-10 14:23:00,1,0,0,0,0.0095,0.863,0.1275,-2.579,1.08,0.002,0.466,0.0,-1.283
Germany’s Bundesrat votes to ban the internal combustion engine by 2030 by Good for Germany!,2016-10-10 14:58:00,0,0,1,0,0.6373,0.0245,0.3383,-2.976,0.518,0.0,0.579,0.0,-3.748
"Utter nonsense. Empirical evidence is what matters, not random speculation.",2016-10-10 15:42:00,0,0,0,0,0.0201,0.7211,0.2588,-2.682,1.818,0.001,0.59,0.0,-2.598
Leaked audio proves just how deceptive/anti-solar utility-backed Amendment 1 really is! RT and read here: #NoOn1 Calculated attempt to deceive Florida voters about solar vote uncovered by Miami Herald,2016-10-19 16:44:00,0,0,1,0,0.0073,0.848,0.1447,-1.483,0.116,0.001,0.667,0.528,1.13
Tesla announcement goes live at 5pm California time. 30 minutes of media Q&A to follow.,2016-10-19 17:29:00,1,0,0,0,0.1642,0.0031,0.8327,2.693,1.88,0.002,0.42,1.0,2.898
"According to experts, Hyperloop is both obvious and impossible. Maybe pick one or the other?",2016-10-19 18:29:00,0,0,0,0,0.0403,0.5496,0.4102,-2.807,0.476,0.002,0.502,0.098,-1.354
This is also what I was alluding to by Model 3 part 2,2016-10-19 19:24:00,1,1,0,0,0.1161,0.0152,0.8687,-1.807,0.213,0.001,0.624,0.261,-4.578
"""Someone is learning how to take down the internet"" Only a matter of time before advanced AI is used to do this. Internet is particularly susceptible to a gradient descent algo.",2016-11-03 15:31:00,0,0,1,0,0.1045,0.3212,0.5743,1.65,-0.141,0.001,0.754,0.916,1.934
There would def be millions of agents simultaneously doing a Monte Carlo sim & combining the results to build a map of weaknesses,2016-11-03 16:47:00,0,1,0,0,0.0526,0.2489,0.6985,-3.195,-0.085,0.001,0.694,0.0,0.489
"I highly recommend the new all glass roof on the Model S. This was very hard to develop, but it makes the interior feel amazing.",2016-11-04 15:05:00,1,0,0,0,0.9756,0.0058,0.0186,3.626,2.117,0.002,0.475,1.0,2.669
Looks like the Model S P100D Easter egg will allow it to do 0 to 60 mph in 2.4 sec and a 10.6 sec 1/4 mile via software update next month,2016-11-16 20:07:00,1,0,0,0,0.6262,0.0047,0.3691,2.272,-0.494,0.0,0.696,0.588,2.485
Backlog of 5 seat foldflat config. 6 seat can be made earlier. Actually my fav version.,2016-11-22 17:20:00,0,0,0,0,0.9237,0.0058,0.0705,2.326,-2.706,0.001,0.448,0.923,0.679
"If the results look good from the latest point release, then we are days away from a release to all HW1 and to all HW2 early next week",2017-01-12 18:08:00,0,1,0,0,0.8067,0.0029,0.1904,-1.031,-0.671,0.0,0.639,0.0,1.279
Report highlight: “The data show that the Tesla vehicles crash rate dropped by almost 40 percent after Autosteer installation.”,2017-01-19 17:10:00,1,0,0,0,0.016,0.7229,0.2611,1.478,0.536,0.001,0.523,0.655,3.198
"Similar to SpaceX, the T is like a cross section of an electric motor, just as the X is like a rocket trajectory",2017-01-19 20:35:00,0,1,0,0,0.0854,0.0149,0.8997,-1.78,-1.758,0.001,0.259,0.385,0.889
There will be a software update this weekend that improves self-calibration ability,2017-01-24 15:29:00,0,1,0,0,0.77,0.0031,0.2269,2.205,-1.906,0.001,0.436,1.0,-1.569
"Yeah, am hearing this from a lot of people & it's getting me down. I'm just trying to make a positive contribution & hope good comes of it.",2017-01-27 17:43:00,0,0,0,0,0.0501,0.6751,0.2748,0.299,-0.252,0.001,0.413,0.125,4.839
Hyperloop pod race happening this weekend at SpaceX HQ (near LAX). We built a ~mile long vacuum tube on our campus big enough to fit people.,2017-01-27 18:32:00,0,0,0,0,0.4718,0.0041,0.5241,0.0,1.551,0.0,0.526,0.481,-0.983
"I agree with creating great jobs, restoring US strength as a great manufacturer of products and anything that makes the future exciting",2017-01-30 17:50:00,0,1,0,0,0.9551,0.0042,0.0407,-0.294,-3.123,0.0,0.837,0.311,0.873
Take out the floor mats and its 2.27. MT said everything had to be standard production.,2017-02-07 15:12:00,0,1,0,0,0.05,0.2551,0.6949,-2.478,0.603,0.001,0.212,0.0,-2.89
"yes, altitude improves performance for electric. Opposite of combustion cars.",2017-02-07 17:13:00,0,1,0,0,0.4703,0.044,0.4857,0.593,0.115,0.001,0.712,0.838,2.545
George Schultz and Jim Baker article in regarding a carbon tax,2017-02-08 18:27:00,0,0,0,0,0.0263,0.0272,0.9465,-1.071,-0.273,0.0,0.562,0.4,1.187
Congrats to the Tesla owner who sacrificed damage to his own car to bring a car with an unconscious driver safely to a stop!,2017-02-15 20:52:00,1,0,0,0,0.763,0.043,0.194,-0.754,1.37,0.0,0.4,0.471,0.961
"Yes, but only deep in solid rock, where the walls are self-supporting and concrete reinforcements arguably aren't needed",2017-02-17 15:55:00,0,1,0,0,0.1209,0.129,0.75,-1.695,0.344,0.002,0.352,0.168,0.194
I didn't pose for it (hopefully that's obvious) or want me on cover. Tunnel boring machine pic wd be way better,2017-02-24 17:51:00,0,1,0,0,0.0193,0.7943,0.1864,1.022,-1.461,0.001,0.622,1.0,1.178
Something on a tristate border might work. Gigafactory plus nearby supporting supply chain needs a very large workforce.,2017-02-24 18:59:00,0,1,0,0,0.227,0.044,0.7289,-2.074,-0.357,0.001,0.603,0.0,-1.431
The shorter wheelbase only allows for a 75 kWh pack in Model 3 at current cell/module energy densities,2017-03-24 17:25:00,1,1,0,0,0.0674,0.1598,0.7728,3.413,0.081,0.001,0.537,1.0,3.182
Glad to have Tencent as an investor and advisor to Tesla,2017-03-28 17:04:00,1,1,0,0,0.9729,0.0028,0.0244,2.725,0.997,0.001,0.915,1.0,3.918
Feature coming soon that allows one touch access to all discovered Tesla Easter eggs,2017-04-07 16:36:00,1,0,0,0,0.6739,0.0035,0.3226,1.677,0.117,0.001,1.272,1.0,2.12
Autolist survey finds Tesla used car values are highest and sell fastest,2017-04-12 19:20:00,1,0,0,0,0.6255,0.0122,0.3623,-3.464,3.331,0.002,0.887,0.0,-0.14
Tesla Semi truck unveil set for September. Team has done an amazing job. Seriously next level.,2017-04-13 17:51:00,1,0,0,0,0.9812,0.0044,0.0144,-2.213,0.743,0.001,0.444,0.267,7.323
Tesla will soon be offering a compelling means of upgrading a 60 to a 75,2017-04-17 18:26:00,1,1,0,0,0.6372,0.009,0.3539,-0.593,-2.73,0.0,0.699,0.82,2.975
"Great food, great ambience and with great friends. We all really enjoyed the visit.",2017-04-24 16:51:00,0,1,0,0,0.9891,0.0032,0.0077,-1.785,-2.437,0.0,0.5,0.488,0.037
"Close-up of rocket stage separation, fast flip, boostback burn in a ring of fire and then…",2017-05-01 13:53:00,0,0,0,0,0.0961,0.0252,0.8786,3.258,2.0,0.002,0.424,1.0,2.15
: Employees fired by Trump: Sally Yates Preet Bharara James Comey Employees investigating Trump: Sally Yates Pr…,2017-05-10 19:44:00,0,0,0,1,0.0107,0.4925,0.4968,2.384,1.768,0.001,0.933,1.0,2.951
Wearing anything at all is just a conspiracy by the capitalist running dogs of Big Underwear,2017-06-05 17:39:00,0,1,0,0,0.0339,0.5042,0.4618,1.55,-0.606,0.001,0.726,0.764,0.501
Tesla shareholder meeting today. Can't believe it's been 1000 years since we went public.,2017-06-06 17:42:00,1,0,0,0,0.5386,0.1416,0.3198,0.716,1.054,0.001,0.55,0.527,1.094
That's why the pic is in black and white. Didn't have color back then.,2017-06-06 17:55:00,0,1,0,0,0.0316,0.3652,0.6032,-2.42,-2.199,0.0,0.604,0.0,0.418
Thanks :) Such an outrageous lawsuit. People sometimes underestimate strength of US judiciary. Lot of respect for the judge & jury system.,2017-06-07 19:27:00,0,1,0,0,0.861,0.0468,0.0922,2.2,1.993,0.0,0.43,1.0,4.503
These guys want us to die so bad they can taste it,2017-06-08 17:30:00,0,1,0,0,0.0087,0.9293,0.062,-0.294,0.268,0.001,0.495,0.264,2.865
"If Zedd is kind enough to send me a list, it's on",2017-06-09 15:37:00,0,0,0,0,0.6691,0.0195,0.3114,-1.954,-0.97,0.001,0.301,0.0,0.899
A SpaceX engineer and marine biologist explain how they got picked to be NASA astronauts Congrats Robb!,2017-06-09 18:42:00,0,0,1,0,0.9235,0.0025,0.074,-0.476,-1.026,0.001,0.227,0.346,0.6
Tesla Model X is the first SUV ever to receive a 5-Star safety rating in every category US govt testing by finds Model X to be the safest SUV in history by significant margin,2017-06-13 15:28:00,1,0,1,0,0.9281,0.0031,0.0687,-1.691,-1.768,0.001,0.451,0.0,-0.358
"Elon Musk publishes plans for colonizing Mars Mars V2 plan coming soon, which I think addresses the most fundamental flaw in V1: how to pay for development & operation of giant rockets",2017-06-16 17:40:00,0,0,1,0,0.0887,0.267,0.6443,-2.539,-1.287,0.001,0.535,0.0,2.082
No plans to change cell form factor for X and S,2017-06-19 15:49:00,0,1,0,0,0.0425,0.0967,0.8608,2.492,-1.181,0.001,0.489,1.0,3.139
No need to rely on scientists for global warming -- just use a thermometer,2017-06-20 17:03:00,0,0,0,0,0.1432,0.1856,0.6711,1.946,0.808,0.002,0.68,0.897,1.188
Must remember that irony and social media are not friends. Keep forgetting. Dammit.,2017-06-22 16:43:00,0,0,0,0,0.0336,0.7641,0.2022,0.829,-0.195,0.0,1.272,0.595,-0.133
"Several tons of force on each fin at high angles of attack & peak heating is the cube of speed, so a Mach 8 reentry is 8X Mach 4. Intense.",2017-06-26 17:32:00,0,1,0,0,0.2714,0.0625,0.6661,-2.616,-3.429,0.001,0.924,0.088,-0.229
"SpaceX just nailed two rocket landings in one weekend Good summary of rocket landing history. There were two successful water landings much earlier, but they didn't survive long.",2017-06-26 18:54:00,0,0,1,0,0.8259,0.0316,0.1425,2.314,-3.15,0.0,0.572,0.595,2.361
Maybe it is time for the man cape to return,2017-06-29 18:09:00,0,0,0,0,0.1638,0.0256,0.8106,1.67,1.874,0.002,0.249,1.0,2.511
"One of my sons is named Xavier, after Professor X!",2017-07-11 17:18:00,0,1,0,0,0.5945,0.0029,0.4026,-1.017,-0.883,0.001,0.434,0.0,0.782
"Tesla is dropping after says the stock price is 'higher than we have any right to deserve' I should clarify: Tesla stock is obviously high based on past & present, but low if you believe in Tesla's future. Place bets accordingly …",2017-07-17 19:12:00,1,0,1,0,0.0409,0.5759,0.3832,2.521,-0.287,0.001,0.463,0.673,2.779
"Still a lot of work needed to receive formal approval, but am optimistic that will occur rapidly",2017-07-20 16:45:00,0,1,0,0,0.6305,0.0315,0.338,-2.179,-0.644,0.0,0.425,0.238,-0.911
"Thoughtful Model 3 review by , one of the most insightful journalists",2017-07-31 15:48:00,1,0,0,0,0.9439,0.0054,0.0508,2.547,1.36,0.001,0.597,1.0,3.021
24 teams comprised of more than 600 students from colleges and universities around the world will compete with one criterion: maximum speed. SpaceX student Hyperloop top speed competition coming up soon!,2017-08-02 18:17:00,0,0,1,0,0.5841,0.004,0.4118,-2.478,-1.154,0.001,0.452,0.266,-2.373
Liftoff! 12th mission of our Dragon robotic space freighter in support of the,2017-08-14 17:05:00,0,0,1,0,0.5104,0.0037,0.4859,0.174,1.03,0.0,0.606,0.59,-1.768
Watching eclipse with sunglasses on through the Model S glass roof. Wow!,2017-08-21 17:20:00,1,0,0,0,0.8675,0.0065,0.126,-2.481,0.204,0.001,0.916,0.163,0.167
First picture of SpaceX spacesuit. More in days to follow. Worth noting that this actually works…,2017-08-23 14:26:00,0,0,0,0,0.9197,0.0025,0.0778,-1.705,-1.283,0.001,0.552,0.0,-0.824
Tesla Model X P100D Ludicrous sets World Record vs Lamborghini Aventador SV Drag Racing: via New Model X SUV now faster than a $500k Lamborghini,2017-08-23 17:43:00,1,0,1,0,0.8965,0.0034,0.1002,2.165,-0.437,0.001,0.903,0.732,2.709
"To be clear, a Hyperloop passenger version wouldn't have intense light strobe effect (just for testing), nor uncomfortable acceleration",2017-08-28 16:30:00,0,1,0,0,0.05,0.2998,0.6502,-3.459,2.553,0.001,0.799,0.0,-0.859
"Absolutely. Moreover, we expect to expand the facility significantly over time.",2017-09-19 16:36:00,0,1,0,0,0.8844,0.003,0.1126,-2.358,1.316,0.001,0.596,0.0,-2.887
"Don't give up if the cause is important enough, even if you believe you are walking into doom. Good friends really matter.",2017-09-20 16:25:00,0,1,0,0,0.5459,0.1604,0.2937,1.473,-0.277,0.001,0.503,0.549,1.806
"Assuming max acceleration of 2 to 3 g's, but in a comfortable direction. Will feel like a mild to moderate amusement park ride on ascent and then smooth, peaceful & silent in zero gravity for most of the trip until landing.",2017-09-29 14:39:00,0,1,0,0,0.7414,0.0085,0.2501,2.062,-1.02,0.001,0.607,0.885,1.051
"The Tesla team has done this for many smaller islands around the world, but there is no scalability limit, so it can be done for Puerto Rico too. Such a decision would be in the hands of the PR govt, PUC, any commercial stakeholders and, most importantly, the people of PR.",2017-10-05 13:58:00,1,1,0,0,0.2968,0.013,0.6902,-2.585,0.383,0.002,0.54,0.191,1.626
"The singularity for this level of the simulation is coming soon. I wonder what the levels above us look like. Good chance they are less interesting and deeper levels are better. So far, even our primitive sims are often more entertaining than reality itself.",2017-10-05 15:12:00,0,1,0,0,0.3922,0.1355,0.4723,-2.057,0.738,0.001,0.757,0.075,-2.964
I'm auditioning to be a roofing spokesmodel in the greater Reno area,2017-10-05 17:12:00,0,1,0,0,0.1235,0.012,0.8644,-1.096,-0.452,0.0,0.797,0.379,-1.016
"Tesla always charges the same price for a Powerwall (only taxes & shipping costs vary), so something is messed up here. I've asked my team to stop shipment to any installers charging excessive premiums.",2017-10-06 16:03:00,1,1,0,0,0.0071,0.8861,0.1068,0.899,0.837,0.0,0.562,0.294,3.101
The last of ten Iridium global communication satellites delivered to orbit several hundred miles…,2017-10-09 15:37:00,0,0,0,0,0.0693,0.0237,0.907,-2.273,-3.513,0.001,0.356,0.152,-0.626
Aim for 10 kN of thrust on a 200 kg sled. a=F/m ... game over.,2017-10-12 15:58:00,0,1,0,0,0.1277,0.1549,0.7174,-2.275,3.375,0.001,0.377,0.245,0.982
I placed the flowers Three broken ribs A pierced lung And still he fought For peace at…,2017-11-09 17:12:00,0,0,0,0,0.0722,0.2305,0.6973,-0.618,-1.808,0.001,0.609,0.561,-0.85
"... say scientists — among other insights gained — after a large vat of LSD overturned in the lab. Also discovered: humans are just sentient sponges, drywall tastes like a marshmallow and gravity is real. The last point remains heavily debated.",2017-11-13 15:49:00,0,1,0,0,0.0609,0.1659,0.7732,1.647,0.704,0.001,0.468,1.0,5.159
"10 hat aficionados, in appreciation for their exquisite taste in millinery, will be picked at random to tour the LA tunnel & drive boring machine",2017-12-14 19:24:00,0,0,0,0,0.6756,0.0079,0.3165,-3.187,0.702,0.001,0.829,0.0,-1.924
"UPS reserves 125 Tesla semi-trucks, largest public pre-order yet Thanks!",2017-12-19 19:08:00,1,0,1,0,0.7969,0.0032,0.1999,-2.314,0.749,0.001,0.433,0.088,0.302
Hate it when that happens. Some people are so rude!,2017-12-20 17:35:00,0,1,0,0,0.0079,0.9383,0.0538,0.977,-1.704,0.0,0.547,0.57,3.301
Sorry about that. Thanks for letting me know. Will get it fixed.,2017-12-21 14:54:00,0,1,0,0,0.1942,0.2145,0.5913,-1.493,2.536,0.002,0.533,0.0,-0.738
Tesla Tops Owner Satisfaction Survey #Tesla #ModelS #ModelX Glad to see that Tesla owners are having a good experience. Working to improve further. Some cool software updates coming soon.,2017-12-21 15:34:00,1,0,1,0,0.9812,0.0029,0.016,-2.397,-2.141,0.001,0.524,0.069,3.297
"However, public transit is obviously not fully solving the problem, as most major cities have been in traffic hell for decades with no solution in sight. Multi-level tunnels can solve this, but we need much better tunneling technology, as it is currently super slow and expensive.",2017-12-21 16:34:00,0,1,0,0,0.0104,0.8674,0.1222,-2.281,-0.418,0.0,0.356,0.0,-0.685
I would only call someone an idiot if people were mistakenly under the impression that the person was smart,2017-12-21 16:48:00,0,1,0,0,0.0245,0.7409,0.2347,-0.633,0.239,0.0,0.47,0.0,3.452
"Long exposure of rocket ascent, reentry from space and landing burn. (Credit )",2018-01-08 17:17:00,0,0,0,0,0.0692,0.0182,0.9125,3.177,1.653,0.001,0.619,1.0,4.399
"Actually, you can upgrade the battery pack for a huge improvement in range and some improvement in performance. There are other items you can upgrade too (seats, infotainment, etc), but I recommend keeping those parts original.",2018-01-12 19:09:00,0,1,0,0,0.7495,0.0107,0.2398,1.059,1.044,0.001,0.596,0.359,1.44
Falcon Heavy hold-down firing this morning was good. Generated quite a thunderhead of steam. Launching in a week or so.,2018-01-24 18:35:00,0,0,0,0,0.9424,0.0032,0.0544,2.562,3.158,0.001,0.251,1.0,3.085
"For sure, and it keeps you warm at the same time",2018-01-29 18:41:00,0,1,0,0,0.8818,0.0099,0.1083,2.323,1.135,0.001,0.778,1.0,5.39
"Early access build and especially Dev build are feature-rich, but the features aren’t reliable enough yet",2018-02-02 17:44:00,0,1,0,0,0.0942,0.3929,0.5129,2.633,2.566,0.001,1.006,1.0,3.029
All systems remain green for launch at 1:30pm EST tomorrow,2018-02-05 19:03:00,0,1,0,0,0.2575,0.006,0.7365,1.579,0.504,0.001,0.45,0.482,-0.369
About 2.5 hours to T-0 for Falcon Heavy. Watch sim for highlight reel of what we hope happens. Car actually takes 6 months to cover 200M+ miles to Mars,2018-02-06 15:59:00,0,0,0,0,0.3525,0.0153,0.6322,-3.261,-0.962,0.002,0.378,0.0,-2.833
Upper atmosphere winds currently 20% above max allowable load. Holding for an hour to allow winds to diminish. #FalconHeavy,2018-02-06 17:02:00,0,0,0,0,0.0564,0.1336,0.81,-1.101,0.816,0.001,0.517,0.601,2.37
Launch auto-sequence initiated (aka the holy mouse-click) for 3:45 liftoff #FalconHeavy,2018-02-06 18:52:00,0,0,0,0,0.1754,0.0085,0.8161,-2.164,0.175,0.005,0.831,0.22,-0.731
"The performance numbers in this database are not accurate. In process of being fixed. Even if they were, a fully expendable Falcon Heavy, which far exceeds the performance of a Delta IV Heavy, is $150M, compared to over $400M for Delta IV Heavy.",2018-02-12 15:44:00,0,0,0,0,0.0109,0.8367,0.1523,-1.699,-1.373,0.002,0.405,0.0,-0.996
